date,posts_total,posts_twitter,posts_truthsocial,posts_authored,posts_reblogs,posts_with_text,uppercase_ratio_mean,exclamation_count_mean,scored_authored_posts,tone_score_llm_mean,tone_index_llm,tone_abs_llm_mean,rhetorical_heat_llm_mean,geo_posts_llm,geo_share_llm,geopolitical_score_llm_mean,geopolitical_index_llm,scored_share_authored,reblog_density,platform_regime,trump_tone_index,trump_geopolitical_index,shock_posts_component,shock_tone_component,shock_heat_component,shock_uppercase_component,shock_exclamation_component,shock_reblog_component,trump_shock_index_raw,trump_shock_index,shock_raw_llm,shock_index_llm,tone_index_llm_7d,tone_index_llm_30d,geopolitical_index_llm_7d,geopolitical_index_llm_30d,shock_index_llm_7d,shock_index_llm_30d,trump_tone_index_7d,trump_tone_index_30d,trump_geopolitical_index_7d,trump_geopolitical_index_30d,trump_shock_index_7d,trump_shock_index_30d
2009-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_posts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3841604382832712,0.3538174549369253,0.0,0.0,-1.915678053371636,-1.321979580148999,0.9285714285714286,0.8095238095238095,0.0,0.0,-1.915678053371636,-1.321979580148999
2009-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_posts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327637244424687,0.3377348433488832,0.0,0.0,-1.572606569172885,-1.2618895992331356,0.7857142857142857,0.7727272727272727,0.0,0.0,-1.572606569172885,-1.2618895992331356
2009-05-26,1.0,1.0,0.0,1.0,0.0,1.0,0.0481927710843373,0.0,1.0,1.0,0.3956623570100891,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,twitter,1.0,0.0,-2.1741281818596656,-1.2271416381769378,-0.9383057122010272,-0.9673254308703032,-1.764477492111951,-0.3161850208479296,-1.391577704949975,-2.405012508401962,-1.391577704949975,-2.405012508401962,0.327637244424687,0.3402534308993704,0.0,0.0,-1.4950828536359744,-1.3115905952839542,0.7857142857142857,0.782608695652174,0.0,0.0,-1.4950828536359744,-1.3115905952839542
2009-05-27,1.0,1.0,0.0,1.0,0.0,1.0,0.1774193548387097,0.0,1.0,1.0,0.3956623570100891,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,twitter,1.0,0.0,-2.1741281818596656,-1.2271416381769378,-0.9383057122010272,0.4953567541063657,-1.764477492111951,-0.3161850208479296,-1.1721753772034746,-2.023600632370729,-1.1721753772034746,-2.023600632370729,0.3726585195564533,0.3425621361539837,0.0,0.0,-1.3899908142234918,-1.3412576801625695,0.8571428571428571,0.7916666666666666,0.0,0.0,-1.3899908142234918,-1.3412576801625695
2009-05-28,1.0,1.0,0.0,1.0,0.0,1.0,0.0396039603960396,0.0,1.0,1.0,0.3956623570100891,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,twitter,1.0,0.0,-2.1741281818596656,-1.2271416381769378,-0.9383057122010272,-1.0645399514351184,-1.764477492111951,-0.3161850208479296,-1.4061598830346973,-2.4303623574990127,-1.4061598830346973,-2.4303623574990127,0.3726585195564533,0.3446861449882278,0.0,0.0,-1.398094600016772,-1.3848218672560275,0.8571428571428571,0.8,0.0,0.0,-1.398094600016772,-1.3848218672560275
2009-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_posts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2260927754343366,0.3314289855656037,0.0,0.0,-1.244832172466674,-1.3315594877461805,0.5714285714285714,0.7692307692307693,0.0,0.0,-1.244832172466674,-1.3315594877461805
2009-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_posts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1695695815757525,0.3191538379520628,0.0,0.0,-0.9798536426102434,-1.2822424696815071,0.4285714285714285,0.7407407407407407,0.0,0.0,-0.9798536426102434,-1.2822424696815071
2009-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_posts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1695695815757525,0.307755486596632,0.0,0.0,-0.9798536426102434,-1.2364480957643105,0.4285714285714285,0.7142857142857143,0.0,0.0,-0.9798536426102434,-1.2364480957643105
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_posts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1695695815757525,0.2971432284381274,0.0,0.0,-0.9798536426102434,-1.1938119545310584,0.4285714285714285,0.6896551724137931,0.0,0.0,-0.9798536426102434,-1.1938119545310584
2009-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_posts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1130463877171683,0.2872384541568565,0.0,0.0,-0.6362804271242489,-1.1540182227133564,0.2857142857142857,0.6666666666666666,0.0,0.0,-0.6362804271242489,-1.1540182227133564
