date,publication,raw,rolling7,rolling30,c1_raw,c2_raw,c3_raw,c1,c2,c3,c1_3,c2_3,c3_3,c1_7,c2_7,c3_7,c1_30,c2_30,c3_30
2024-09-09,False,,-2.0,-1.0,,,,-2.0,0.0,2.0,-2.0,0.0,2.0,-2.0,0.0,2.0,-1.0,0.1,0.6666666666666666
2024-09-10,True,-3.0,-2.142857142857143,-1.0666666666666669,-3.0,0.0,0.0,-3.0,0.0,0.0,-2.333333333333333,0.0,1.3333333333333333,-2.142857142857143,0.0,1.7142857142857142,-1.0666666666666669,0.0666666666666666,0.6666666666666666
2024-09-11,True,-3.0,-2.2857142857142856,-1.1333333333333333,-3.0,0.0,2.0,-3.0,0.0,2.0,-2.6666666666666665,0.0,1.3333333333333333,-2.2857142857142856,0.0,1.7142857142857142,-1.1333333333333333,0.0333333333333333,0.7333333333333333
2024-09-12,False,,-2.4285714285714284,-1.2,,,,-3.0,0.0,2.0,-3.0,0.0,1.3333333333333333,-2.4285714285714284,0.0,1.7142857142857142,-1.2,0.0,0.8
2024-09-13,False,,-2.571428571428572,-1.2666666666666666,,,,-3.0,0.0,2.0,-3.0,0.0,2.0,-2.571428571428572,0.0,1.7142857142857142,-1.2666666666666666,-0.0333333333333333,0.8666666666666667
2024-09-14,True,-3.0,-2.7142857142857144,-1.3,-3.0,0.0,-2.0,-3.0,0.0,-2.0,-3.0,0.0,0.6666666666666666,-2.7142857142857144,0.0,1.1428571428571428,-1.3,0.0,0.8666666666666667
2024-09-15,True,0.0,-2.4285714285714284,-1.2333333333333334,0.0,0.0,2.0,0.0,0.0,2.0,-2.0,0.0,0.6666666666666666,-2.4285714285714284,0.0,1.1428571428571428,-1.2333333333333334,0.0,0.8666666666666667
2024-09-16,False,,-2.142857142857143,-1.2,,,,0.0,0.0,2.0,-1.0,0.0,0.6666666666666666,-2.142857142857143,0.0,1.1428571428571428,-1.2,0.0,0.8666666666666667
2024-09-17,True,2.0,-1.4285714285714286,-1.1,2.0,0.0,3.0,2.0,0.0,3.0,0.6666666666666666,0.0,2.333333333333333,-1.4285714285714286,0.0,1.5714285714285714,-1.1,0.0,0.9
2024-09-18,True,-2.0,-1.2857142857142858,-1.1333333333333333,-2.0,0.0,1.0,-2.0,0.0,1.0,0.0,0.0,2.0,-1.2857142857142858,0.0,1.4285714285714286,-1.1333333333333333,0.0,0.8666666666666667
2024-09-19,False,,-1.1428571428571428,-1.1666666666666667,,,,-2.0,0.0,1.0,-0.6666666666666666,0.0,1.6666666666666667,-1.1428571428571428,0.0,1.2857142857142858,-1.1666666666666667,0.0,0.8333333333333334
2024-09-20,True,-2.0,-1.0,-1.2,-2.0,-1.0,0.0,-2.0,-1.0,0.0,-2.0,-0.3333333333333333,0.6666666666666666,-1.0,-0.1428571428571428,1.0,-1.2,-0.0333333333333333,0.7666666666666667
2024-09-21,False,,-0.8571428571428571,-1.2333333333333334,,,,-2.0,-1.0,0.0,-2.0,-0.6666666666666666,0.3333333333333333,-0.8571428571428571,-0.2857142857142857,1.2857142857142858,-1.2333333333333334,-0.0666666666666666,0.7
2024-09-22,False,,-1.1428571428571428,-1.3,,,,-2.0,-1.0,0.0,-2.0,-1.0,0.0,-1.1428571428571428,-0.4285714285714285,1.0,-1.3,-0.1,0.7666666666666667
